foot_contact_forces
"charlotte-sim repo hash: 46395edc6d0c8927cf8d5f1aabf662f39d634e6d WARNING: charlotte-sim git repo was NOT clean, it may have changes not captured as of this hash!"
charlotte-description repo hash: 58b78b6450979467e648200be8d12d1950012a35
Units: N
Time,MR_Fx,MR_Fy,MR_Fz,BR_Fx,BR_Fy,BR_Fz,FL_Fx,FL_Fy,FL_Fz,ML_Fx,ML_Fy,ML_Fz,BL_Fx,BL_Fy,BL_Fz,FR_Fx,FR_Fy,FR_Fz
9.609375,8.600956293934775,-1.4203822548014307,-377.34593901315503,1.4477646438044074,-1.153297935787738,-210.6857878676489,-10.978744465589969,4.90516972196331,-465.9450052119622,nan,nan,nan,-1.689243229635157,-0.014425433354152478,-160.82451694036047,nan,nan,nan
9.61,8.600956293934775,-1.4203822548014307,-377.34593901315503,1.4477646438044074,-1.153297935787738,-210.6857878676489,-10.978744465589969,4.90516972196331,-465.9450052119622,nan,nan,nan,-1.689243229635157,-0.014425433354152478,-160.82451694036047,nan,nan,nan
9.611,8.599160361279663,-1.4347571818636502,-377.4089606117889,1.4533075434415836,-1.1573247377707563,-210.6223427838315,-10.986159412351972,4.90515546976207,-466.04717712718235,nan,nan,nan,-1.687129514876383,-0.015478701320775867,-160.72610539478194,nan,nan,nan
9.612,8.59732810074568,-1.449225185460693,-377.47197084808704,1.4590693433760202,-1.1613885226764689,-210.55882136557318,-10.993589591740424,4.90514945813222,-466.1492337457404,nan,nan,nan,-1.6850107701305783,-0.01654027308899036,-160.62771586836905,nan,nan,nan
9.613,8.595459584272502,-1.4637850134963721,-377.5349687877689,1.4650466045588058,-1.165488738371662,-210.49522254045092,-11.001034975786407,4.905151271731001,-466.25117708986187,nan,nan,nan,-1.6828870352289975,-0.017610058156746378,-160.52934854589165,nan,nan,nan
9.614,8.593554890540203,-1.4784354181704662,-377.59795351611757,1.471235714524024,-1.1696246984452083,-210.4315452593109,-11.00849553249217,4.9051604977449434,-466.35300919316,nan,nan,nan,-1.680758358313251,-0.018687960512102218,-160.43100361030884,nan,nan,nan
9.615,8.59161410536011,-1.493175208549047,-377.660924128616,1.4776331026651017,-1.173795776802631,-210.3677885010856,-11.015971225163813,4.9051767222501494,-466.4547320997949,nan,nan,nan,-1.6786248036354636,-0.019773884079069097,-160.33268124285757,nan,nan,nan
9.616,8.589637325349837,-1.5080035023525844,-377.72387973959945,1.4842354668217486,-1.1780013415558355,-210.30395130421758,-11.023462008354839,4.90519953312334,-466.55634781355644,nan,nan,nan,-1.6764864943764686,-0.020867728124262703,-160.23438162548808,nan,nan,nan
9.617,8.587624705610782,-1.5229228448609144,-377.7868195377847,1.4910428325555891,-1.1822406969251487,-210.2400331411543,-11.03096778518611,4.905228483696319,-466.6578577519145,nan,nan,nan,-1.6743439934345299,-0.02196938534765408,-160.13610499305813,nan,nan,nan
9.618,8.585576265213037,-1.537927316270369,-377.84974270806936,1.4980452324794948,-1.1865132127003066,-210.17603266916518,-11.038488560871073,4.90526341037731,-466.7592645422667,nan,nan,nan,-1.672194312672333,-0.023078604114578034,-160.03785137846063,nan,nan,nan
9.619,8.586056821611963,-1.7323785555469688,-377.91782321177135,1.6735492375230008,-1.1876315893919571,-210.1322117185744,-11.043061536546585,4.906285337709153,-466.82857989850555,nan,nan,nan,-1.6712713267023447,-0.02171010410200058,-159.94161779027488,nan,nan,nan
9.620000000000001,8.58546816094411,-1.798665033121549,-377.97674742336534,1.6763910921703322,-1.1819320411609395,-210.0828252327253,-11.052067142897414,4.896092687959474,-466.9177394522925,nan,nan,nan,-1.6644113003378957,-0.029879778806224538,-159.84775223792772,nan,nan,nan
9.621,8.585106471888414,-1.8601889166280003,-378.03300581006636,1.6788891555060088,-1.1765730037638324,-210.0309819557631,-11.060567887750729,4.885968071993663,-467.0128993822407,nan,nan,nan,-1.6577840035562519,-0.03767842077740422,-159.75462110841943,nan,nan,nan
